Kod;Nazwa;ofiary œmiertelne;;;;;;;;;;;;;;;;;;;;;
;;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba]
1018000;Powiat wieruszowski;-;-;-;-;-;-;-;-;-;-;-;-;4;2;7;4;6;6;10;4;4;7
1019000;Powiat zduñskowolski;-;-;-;-;-;-;-;-;-;-;-;-;7;13;8;3;3;5;3;5;7;3
1020000;Powiat zgierski;-;-;-;-;-;-;-;-;-;-;-;-;23;28;19;17;17;15;15;8;19;16
1021000;Powiat brzeziñski;-;-;-;-;-;-;-;-;-;-;-;-;4;7;6;5;8;7;5;3;6;2
1061000;Powiat m.£ódŸ;-;-;-;-;-;-;-;-;-;-;-;-;38;33;31;42;19;17;22;18;23;23
1062000;Powiat m.Piotrków Trybunalski;-;-;-;-;-;-;-;-;-;-;-;-;7;5;5;2;8;4;3;5;3;0
1063000;Powiat m.Skierniewice;-;-;-;-;-;-;-;-;-;-;-;-;5;0;1;1;1;3;2;0;4;2
1200000;MA£OPOLSKIE;426;400;383;375;365;335;334;308;341;344;314;235;313;253;221;234;198;185;194;223;176;157
1201000;Powiat bocheñski;-;-;-;-;-;-;-;-;-;-;-;-;14;5;10;8;4;8;6;5;4;10
1202000;Powiat brzeski;-;-;-;-;-;-;-;-;-;-;-;-;14;11;12;11;12;6;18;8;3;2
1203000;Powiat chrzanowski;-;-;-;-;-;-;-;-;-;-;-;-;7;7;13;9;12;6;6;6;8;6
1204000;Powiat d¹browski;-;-;-;-;-;-;-;-;-;-;-;-;4;5;5;7;0;3;7;3;2;4
1205000;Powiat gorlicki;-;-;-;-;-;-;-;-;-;-;-;-;4;13;2;10;4;9;3;6;5;10
1206000;Powiat krakowski;-;-;-;-;-;-;-;-;-;-;-;-;34;30;22;18;10;16;15;24;21;19
1207000;Powiat limanowski;-;-;-;-;-;-;-;-;-;-;-;-;12;5;5;13;10;6;7;8;3;8
1208000;Powiat miechowski;-;-;-;-;-;-;-;-;-;-;-;-;3;7;7;5;9;11;10;12;10;9
1209000;Powiat myœlenicki;-;-;-;-;-;-;-;-;-;-;-;-;18;11;12;10;13;3;16;7;9;10
1210000;Powiat nowos¹decki;-;-;-;-;-;-;-;-;-;-;-;-;24;20;25;18;12;7;13;25;16;6
1211000;Powiat nowotarski;-;-;-;-;-;-;-;-;-;-;-;-;19;12;17;13;18;15;15;20;17;9
1212000;Powiat olkuski;-;-;-;-;-;-;-;-;-;-;-;-;12;13;5;10;3;9;9;8;8;4
1213000;Powiat oœwiêcimski;-;-;-;-;-;-;-;-;-;-;-;-;22;11;10;14;14;5;11;4;9;5
1214000;Powiat proszowicki;-;-;-;-;-;-;-;-;-;-;-;-;8;7;6;5;3;3;1;7;11;3
1215000;Powiat suski;-;-;-;-;-;-;-;-;-;-;-;-;7;8;10;5;12;10;3;9;6;3
1216000;Powiat tarnowski;-;-;-;-;-;-;-;-;-;-;-;-;26;22;10;19;16;24;10;13;9;11
1217000;Powiat tatrzañski;-;-;-;-;-;-;-;-;-;-;-;-;5;10;4;3;3;2;4;6;3;2
1218000;Powiat wadowicki;-;-;-;-;-;-;-;-;-;-;-;-;18;16;9;15;10;9;9;11;6;5
